[2020-07-07 14:54:23,275][INFO][CommonFile.py:32] >> 출력완료)
[2020-07-07 14:54:23,276][INFO][commonRequest.py:15] >> doReq 메소드 실행)
[2020-07-07 14:54:36,367][INFO][pri_02_service.py:53] >> builtin_function_or_method)
[2020-07-07 14:54:36,757][INFO][CommonFile.py:19] >> printRecord 메소드 실행)
[2020-07-07 14:54:36,763][INFO][CommonFile.py:32] >> 출력완료)
[2020-07-07 14:54:36,767][INFO][commonRequest.py:15] >> doReq 메소드 실행)
[2020-07-07 14:55:02,968][INFO][pri_02_service.py:53] >> builtin_function_or_method)
[2020-07-07 14:55:03,392][INFO][CommonFile.py:19] >> printRecord 메소드 실행)
[2020-07-07 14:55:03,402][INFO][CommonFile.py:32] >> 출력완료)
[2020-07-07 14:55:03,406][INFO][commonRequest.py:15] >> doReq 메소드 실행)
[2020-07-07 14:55:30,127][INFO][pri_02_service.py:53] >> builtin_function_or_method)
[2020-07-07 14:55:30,318][INFO][CommonFile.py:19] >> printRecord 메소드 실행)
[2020-07-07 14:55:30,322][INFO][CommonFile.py:32] >> 출력완료)
[2020-07-07 14:55:30,322][INFO][CommonFile.py:19] >> printRecord 메소드 실행)
[2020-07-07 14:55:30,323][INFO][CommonFile.py:32] >> 출력완료)
[2020-07-07 14:57:35,305][INFO][commonRequest.py:15] >> doReq 메소드 실행)
[2020-07-07 14:57:53,242][INFO][pri_02_service.py:53] >> builtin_function_or_method)
[2020-07-07 14:57:53,310][INFO][CommonFile.py:19] >> printRecord 메소드 실행)
[2020-07-07 14:57:53,315][INFO][CommonFile.py:32] >> 출력완료)
[2020-07-07 14:57:53,319][INFO][commonRequest.py:15] >> doReq 메소드 실행)
[2020-07-07 14:58:06,248][INFO][pri_02_service.py:53] >> builtin_function_or_method)
[2020-07-07 14:58:06,314][INFO][CommonFile.py:19] >> printRecord 메소드 실행)
[2020-07-07 14:58:06,320][INFO][CommonFile.py:32] >> 출력완료)
[2020-07-07 14:58:06,323][INFO][commonRequest.py:15] >> doReq 메소드 실행)
[2020-07-07 14:58:12,579][INFO][pri_02_service.py:53] >> builtin_function_or_method)
[2020-07-07 14:58:12,643][INFO][CommonFile.py:19] >> printRecord 메소드 실행)
[2020-07-07 14:58:12,648][INFO][CommonFile.py:32] >> 출력완료)
[2020-07-07 14:58:12,652][INFO][commonRequest.py:15] >> doReq 메소드 실행)
[2020-07-07 14:58:16,872][INFO][pri_02_service.py:53] >> builtin_function_or_method)
[2020-07-07 14:58:16,936][INFO][CommonFile.py:19] >> printRecord 메소드 실행)
